"Japanese","English"
"//Text $1AA9E0
#WRITE(ptr,$18BD70)
ティアの花[END]
","//Text $1AA9E0
#WRITE(ptr,$18BD70)
Tear Flower[END]
"
"//Text $1AA9A0
#WRITE(ptr,$18BD74)
白ユリに似た形をした花。[LINE]
花の汁は、危険な薬の材料になる。[LINE]
[END]
","//Text $1AA9A0
#WRITE(ptr,$18BD74)
Flower resembling a white lily.[LINE]
Its sap can be used to make [LINE]
a dangerous medicine.[END]"
"//Text $1AA940
#WRITE(ptr,$18BD78)
シュサイアの近くには見た目は綺麗だけれど[LINE]
危険な薬の材料になる植物が自生している[LINE]
らしい。[END]
","//Text $1AA940
#WRITE(ptr,$18BD78)
It seems there's a beautiful but[LINE]
dangerous flower that grows in[LINE]
the vicinity of Josaia.[END]"
"//Text $1AA930
#WRITE(ptr,$18BD8C)
ウソツツキ[END]
","//Text $1AA930
#WRITE(ptr,$18BD8C)
Liarpecker[END]
"
"//Text $1AA8D8
#WRITE(ptr,$18BD90)
するどいくちばしを持つ鳥。[LINE]
「ウソツツキにつつかれるよ」と、親は子の[LINE]
ウソをしかる。[END]
","//Text $1AA8D8
#WRITE(ptr,$18BD90)
Sharp-beaked bird that deceitful children[LINE]
are warned of by their parents.[LINE]
[END]"
"//Text $1AA870
#WRITE(ptr,$18BD94)
ストレイライズ神殿へ巡礼に来る途中の村で、[LINE]
子供に嫌われているおもしろい動物の話を[LINE]
耳にしたという。[END]
","//Text $1AA870
#WRITE(ptr,$18BD94)
There's talk of an interesting creature[LINE]
from the children in the village on the[LINE]
way to Straylize Temple.[END]"
"//Text $1AA858
#WRITE(ptr,$18BDA8)
オオツノカブトムシ[END]
","//Text $1AA858
#WRITE(ptr,$18BDA8)
Big Horned Beetle[END]
"
"//Text $1AA818
#WRITE(ptr,$18BDAC)
身体の三倍の長さの角を持つカブトムシ。[LINE]
強そうだが弱い。[LINE]
[END]
","//Text $1AA818
#WRITE(ptr,$18BDAC)
Rhinoceros beetle with a horn three[LINE]
times its body size. It looks strong,[LINE]
but it's weak.[END]"
"//Text $1AA7B0
#WRITE(ptr,$18BDB0)
緑の外殻には昆虫もいるらしい。[LINE]
確か技術研究施設のある空中都市の近く[LINE]
だったような気がしたそうだ。[END]
","//Text $1AA7B0
#WRITE(ptr,$18BDB0)
It seems there's an insect on the Outer Sell.[LINE]
It's probably near the city with a research lab.[LINE]
[END]"
"//Text $1AA7A0
#WRITE(ptr,$18BDC4)
マネーヘビの皮[END]
","//Text $1AA7A0
#WRITE(ptr,$18BDC4)
Cashaconda Skin[END]
"
"//Text $1AA748
#WRITE(ptr,$18BDC8)
体長１０メートルはあると言われる大蛇の皮。[LINE]
持っていると金持ちになれるという噂がある。[LINE]
[END]
","//Text $1AA748
#WRITE(ptr,$18BDC8)
Skin from a snake 10 meters in length.[LINE]
Rumor has it those who possess it are[LINE]
met with great fortune.[END]"
"//Text $1AA6E8
#WRITE(ptr,$18BDCC)
ストレイライズ神殿にお参りに行ったら、[LINE]
懐があたたかくなるような気がするものを[LINE]
見つけたらしい。[END]
","//Text $1AA6E8
#WRITE(ptr,$18BDCC)
It seems something was found on the way to[LINE]
Straylize Temple that'll fill your wallet up.[END]"
"//Text $1AA6D8
#WRITE(ptr,$18BDE0)
ヤミマチソウ[END]
","//Text $1AA6D8
#WRITE(ptr,$18BDE0)
Gloomdrop[END]
"
"//Text $1AA688
#WRITE(ptr,$18BDE4)
新月の夜に、ぼんやり光る花を咲かせる植物。[LINE]
花が咲いた様子はとても幻想的。[LINE]
[END]
","//Text $1AA688
#WRITE(ptr,$18BDE4)
Flowering plant that blooms under the[LINE]
new moon. The faint glow it gives off[LINE]
is almost magical.[END]"
