"Japanese","English"
"//Text $1A74F0
#WRITE(ptr,$189DD0)
トーンの山小屋[END]
","//Text $1A74F0
#WRITE(ptr,$189DD0)
Torn's Cabin[END]
"
"//Text $1A74E0
#WRITE(ptr,$189DD4)
Torn's Cabin[END]
","//Text $1A74E0
#WRITE(ptr,$189DD4)
[END]
"
"//Text $1A74A0
#WRITE(ptr,$189DD8)
雪の山林にある小屋。[LINE]
弓の名手アルバ・トーンが隠棲している。[END]
","//Text $1A74A0
#WRITE(ptr,$189DD8)
A hut in a snowy mountain forest.[LINE]
Home to master archer [Alba] Torn.[END]
"
"//Text $1A7488
#WRITE(ptr,$189E08)
国境の街ジェノス[END]
","//Text $1A7488
#WRITE(ptr,$189E08)
Janos[END]
"
"//Text $1A7480
#WRITE(ptr,$189E0C)
Janos[END]
","//Text $1A7480
#WRITE(ptr,$189E0C)
[END]
"
"//Text $1A7410
#WRITE(ptr,$189E10)
ファンダリアの北部にある国境の街。[LINE]
ジェノスを境に南がファンダリア、[LINE]
北がセインガルドの領土に分かれている。[END]
","//Text $1A7410
#WRITE(ptr,$189E10)
A border town in the northern part of[LINE]
Phandaria. Phandaria owns the south[LINE]
and Seinegald owns the north.[END]
"
"//Text $1A73F8
#WRITE(ptr,$189E40)
首都ハイデルベルグ[END]
","//Text $1A73F8
#WRITE(ptr,$189E40)
Heidelberg[END]
"
"//Text $1A73E8
#WRITE(ptr,$189E44)
Heidelberg[END]
","//Text $1A73E8
#WRITE(ptr,$189E44)
[END]
"
"//Text $1A7390
#WRITE(ptr,$189E48)
ファンダリアの首都。[LINE]
整備された町並みに降り積もる雪が[LINE]
人々の喧騒を吸収してくれる。[END]
","//Text $1A7390
#WRITE(ptr,$189E48)
The capital of Phandaria.[LINE]
The snow on the streets absorbs [LINE]
the hustle and bustle of the city.[END]
"
"//Text $1A7378
#WRITE(ptr,$189E78)
首都ダリルシェイド[END]
","//Text $1A7378
#WRITE(ptr,$189E78)
Darilsheid[END]
"
"//Text $1A7368
#WRITE(ptr,$189E7C)
Darilsheid[END]
","//Text $1A7368
#WRITE(ptr,$189E7C)
[END]
"
"//Text $1A7328
#WRITE(ptr,$189E80)
セインガルドの首都。[LINE]
整備された城下町は、人々で賑わっている。[END]
","//Text $1A7328
#WRITE(ptr,$189E80)
Capital of Seinegald.[LINE]
This well-developed town is filled[LINE]
with people.[END]
"
"//Text $1A7318
#WRITE(ptr,$189EB0)
クレスタの街[END]
","//Text $1A7318
#WRITE(ptr,$189EB0)
Cresta[END]
"
