"Japanese","English"
"//Text $1BA218
#WRITE(ptr,$191D98)
[Sign_3]おにぎり[END]
","//Text $1BA218
#WRITE(ptr,$191D98)
[Sign_3]Rice Balls[END]
"
"//Text $1BA1C8
#WRITE(ptr,$191D9C)
おにぎりが出るストラップ。[LINE]
愛情を込めて丁寧に握りました。[LINE]
旅のお供に最適。[END]
","//Text $1BA1C8
#WRITE(ptr,$191D9C)
Strap with some Rice Balls.[LINE]
Carefully molded with love.[LINE]
One's best traveling companion.[END]"
"//Text $1BA180
#WRITE(ptr,$191DC8)
[Sign_3]サンドイッチ[END]
","//Text $1BA180
#WRITE(ptr,$191DC8)
[Sign_3]Sandwich[END]
"
"//Text $1BA120
#WRITE(ptr,$191DCC)
サンドイッチが出るストラップ。[LINE]
野菜とハムをサンドしたもの。[LINE]
どこでも手軽に食べられます。[END]
","//Text $1BA120
#WRITE(ptr,$191DCC)
Strap with a vegetable and ham[LINE]
sandwich. Can be easily eaten[LINE]
anywhere.[END]
"
"//Text $1BA0C8
#WRITE(ptr,$191DF8)
[Sign_3]ハンバーガー[END]
","//Text $1BA0C8
#WRITE(ptr,$191DF8)
[Sign_3]Hamburger[END]
"
"//Text $1BA068
#WRITE(ptr,$191DFC)
ハンバーガーが出るストラップ。[LINE]
ジューシーなハンバーグをパンで[LINE]
挟みました。ボリューム満点！[END]
","//Text $1BA068
#WRITE(ptr,$191DFC)
Strap with a Hamburger. A juicy[LINE]
beef patty between two buns...[LINE]
Very filling![END]
"
"//Text $1BA020
#WRITE(ptr,$191E28)
[Sign_3]ホットドッグ[END]
","//Text $1BA020
#WRITE(ptr,$191E28)
[Sign_3]Hotdog[END]
"
"//Text $1B9FC0
#WRITE(ptr,$191E2C)
ホットドッグが出るストラップ。[LINE]
細長いパンに切れ目を入れ、温めた[LINE]
ソーセージをはさんだもの。[END]
","//Text $1B9FC0
#WRITE(ptr,$191E2C)
Strap with a Hotdog. Hot sausage[LINE]
in a lengthwise-cut long bun.[LINE]
[END]
"
"//Text $1B9F88
#WRITE(ptr,$191E58)
[Sign_3]ブリトー[END]
","//Text $1B9F88
#WRITE(ptr,$191E58)
[Sign_3]Burrito[END]
"
"//Text $1B9F30
#WRITE(ptr,$191E5C)
ブリトーが出るストラップ。[LINE]
ライス・肉・豆・野菜などの具を[LINE]
トルティーヤで巻いたもの。[END]
","//Text $1B9F30
#WRITE(ptr,$191E5C)
Strap with a Burrito. Rice, meat,[LINE]
beans, and vegetables wrapped[LINE]
in a tortilla.[END]
"
"//Text $1B9EF8
#WRITE(ptr,$191E88)
[Sign_3]ケバブ[END]
","//Text $1B9EF8
#WRITE(ptr,$191E88)
[Sign_3]Kebab[END]
"
"//Text $1B9EA0
#WRITE(ptr,$191E8C)
ケバブが出るストラップ。[LINE]
串に刺した肉をゆっくりと回しなが[LINE]
らじっくり焼き上げたもの。[END]
","//Text $1B9EA0
#WRITE(ptr,$191E8C)
Strap with a Kebab. Slowly and[LINE]
carefully roasted skewered[LINE]
meat.[END]
"
"//Text $1B9E68
#WRITE(ptr,$191EB8)
[Sign_3]いなり寿司[END]
","//Text $1B9E68
#WRITE(ptr,$191EB8)
[Sign_3]Inarizushi[END]
"
"//Text $1B9E10
#WRITE(ptr,$191EBC)
いなり寿司が出るストラップ。[LINE]
甘く煮た油揚げの中にすし飯を詰め[LINE]
たもの。お子様にも人気。[END]
","//Text $1B9E10
#WRITE(ptr,$191EBC)
Strap with an Inarizushi. Sushi with[LINE]
sweet boiled, deep-fried, vinegared[LINE]
tofu. Popular with children.[END]
"
"//Text $1B9DD8
#WRITE(ptr,$191EE8)
[Sign_3]一夜漬け[END]
","//Text $1B9DD8
#WRITE(ptr,$191EE8)
[Sign_3]Pickled Vegetables[END]
"
