"Japanese","English"
"//Text $1AFCF8
#WRITE(ptr,$18C60C)
[Sign_Apple_Gel]アップルグミ[END]
","//Text $1AFCF8
#WRITE(ptr,$18C60C)
[Sign_Apple_Gel]Apple Gel[END]
"
"//Text $1AFCA8
#WRITE(ptr,$18C610)
フレッシュな甘さ、[LINE]
アップル味のグミ。[LINE]
最大ＨＰの３０％分ＨＰが回復する。[END]
","//Text $1AFCA8
#WRITE(ptr,$18C610)
A gelatin-based healing medicine.[LINE]
Restores 30% of max HP for one ally.[END]
"
"//Text $1AFC98
#WRITE(ptr,$18C628)
[Sign_Apple_Gel]ピーチグミ[END]
","//Text $1AFC98
#WRITE(ptr,$18C628)
[Sign_Apple_Gel]Peach Gel[END]
"
"//Text $1AFC50
#WRITE(ptr,$18C62C)
とろける甘さ、[LINE]
ピーチ味のグミ。[LINE]
最大ＨＰの５０％分ＨＰが回復する。[END]
","//Text $1AFC50
#WRITE(ptr,$18C62C)
A gelatin-based healing medicine.[LINE]
Restores 50% of max HP for one ally.[END]
"
"//Text $1AFC38
#WRITE(ptr,$18C644)
[Sign_Apple_Gel]グレープグミ[END]
","//Text $1AFC38
#WRITE(ptr,$18C644)
[Sign_Apple_Gel]Grape Gel[END]
"
"//Text $1AFBE8
#WRITE(ptr,$18C648)
ジューシーな甘さ、[LINE]
グレープ味のグミ。[LINE]
最大ＨＰの７５％分ＨＰが回復する。[END]
","//Text $1AFBE8
#WRITE(ptr,$18C648)
A gelatin-based healing medicine.[LINE]
Restores 70% of max HP for one ally.[END]
"
"//Text $1AFBD0
#WRITE(ptr,$18C660)
[Sign_Apple_Gel]ドリアングミ[END]
","//Text $1AFBD0
#WRITE(ptr,$18C660)
[Sign_Apple_Gel]Durian Gel[END]
"
"//Text $1AFB88
#WRITE(ptr,$18C664)
クセになる甘さ、[LINE]
ドリアン味のグミ。[LINE]
ＨＰが全快するが、まれに……[END]
","//Text $1AFB88
#WRITE(ptr,$18C664)
Full HP recovery, but sometimes...[LINE]
Only usable during battle.[END]
"
"//Text $1AFB70
#WRITE(ptr,$18C67C)
[Sign_Apple_Gel]ドラゴングミ[END]
","//Text $1AFB70
#WRITE(ptr,$18C67C)
[Sign_Apple_Gel]Dragon Gel[END]
"
"//Text $1AFB28
#WRITE(ptr,$18C680)
ヘルシーな甘さ、[LINE]
ドラゴンフルーツ味のグミ。[LINE]
ブラストゲージが増える。[END]
","//Text $1AFB28
#WRITE(ptr,$18C680)
Increase Blast Gauge of one[LINE]
ally. Only usable during battle.[END]
"
"//Text $1AFB18
#WRITE(ptr,$18C698)
[Sign_Apple_Gel]バクチグミ[END]
","//Text $1AFB18
#WRITE(ptr,$18C698)
[Sign_Apple_Gel]Gamble Gel[END]
"
"//Text $1AFAD8
#WRITE(ptr,$18C69C)
ランダムな甘さ、[LINE]
サイコロ印のグミ。[LINE]
ＨＰがランダムで変動する。[END]
","//Text $1AFAD8
#WRITE(ptr,$18C69C)
Changes HP to a random value.[LINE]
Only usable during battle.[END]
"
"//Text $1AFAC0
#WRITE(ptr,$18C6B4)
[Sign_Apple_Gel]ぽっちゃりグミ[END]
","//Text $1AFAC0
#WRITE(ptr,$18C6B4)
[Sign_Apple_Gel]Plump Gel[END]
"
"//Text $1AFA68
#WRITE(ptr,$18C6B8)
最大ＨＰが１．５倍になるが、[LINE]
回復率が２分の１になる激甘なグミ。[LINE]
戦闘中のみ有効。[END]
","//Text $1AFA68
#WRITE(ptr,$18C6B8)
Max HP increase to 150%,[LINE]
but recovery is halved.[LINE]
Only usable during battle.[END]
"
"//Text $1AFA50
#WRITE(ptr,$18C6D0)
[Sign_Apple_Gel]げっそりグミ[END]
","//Text $1AFA50
#WRITE(ptr,$18C6D0)
[Sign_Apple_Gel]Lean Gel[END]
"
"//Text $1AFA00
#WRITE(ptr,$18C6D4)
最大ＨＰが７５％になるが、[LINE]
回復率が２倍になる苦めなグミ。[LINE]
戦闘中のみ有効。[END]
","//Text $1AFA00
#WRITE(ptr,$18C6D4)
Max HP decrease to 75%,[LINE]
but recovery is doubled.[LINE]
Only usable during battle.[END]
"
"//Text $1AF9E8
#WRITE(ptr,$18C6EC)
[Sign_Apple_Gel]パナシーアボトル[END]
","//Text $1AF9E8
#WRITE(ptr,$18C6EC)
[Sign_Apple_Gel]Panacea Bottle[END]
"
"//Text $1AF9C8
#WRITE(ptr,$18C6F0)
全ての状態異常を回復する薬。[LINE]
[LINE]
[END]
","//Text $1AF9C8
#WRITE(ptr,$18C6F0)
Recover from abnormal 
status effects.[END]
"
"//Text $1AF9B0
#WRITE(ptr,$18C708)
[Sign_Apple_Gel]リキュールボトル[END]
","//Text $1AF9B0
#WRITE(ptr,$18C708)
[Sign_Apple_Gel]Liqueur Bottle[END]
"
"//Text $1AF970
#WRITE(ptr,$18C70C)
全ての状態異常・減少効果を[LINE]
防止する薬。[LINE]
戦闘中のみ有効。[END]
","//Text $1AF970
#WRITE(ptr,$18C70C)
Protects against all abnormal[LINE]
statuses, as well as de-buffs.[END]
"
"//Text $1AF958
#WRITE(ptr,$18C724)
[Sign_Apple_Gel]ライフボトル[END]
","//Text $1AF958
#WRITE(ptr,$18C724)
[Sign_Apple_Gel]Life Bottle[END]
"
"//Text $1AF918
#WRITE(ptr,$18C728)
戦闘不能を回復し、[LINE]
最大ＨＰの４０％分[LINE]
ＨＰが回復する薬。[END]
","//Text $1AF918
#WRITE(ptr,$18C728)
Contains the water of life.[LINE]
Revives dead ally with 40% HP.[END]
"
"//Text $1AF900
#WRITE(ptr,$18C740)
[Sign_Apple_Gel]エリクシール[END]
","//Text $1AF900
#WRITE(ptr,$18C740)
[Sign_Apple_Gel]Elixir[END]
"
"//Text $1AF8B8
#WRITE(ptr,$18C744)
戦闘不能を回復し、[LINE]
ＨＰを全快にする薬。[LINE]
不老長寿の霊薬とも言われる。[END]
","//Text $1AF8B8
#WRITE(ptr,$18C744)
A strange medicine that fully [LINE]
restores HP and cures KO.[END]
"
"//Text $1AF8A0
#WRITE(ptr,$18C75C)
[Sign_Apple_Gel]オールディバイド[END]
","//Text $1AF8A0
#WRITE(ptr,$18C75C)
[Sign_Apple_Gel]All-Divide[END]
"
"//Text $1AF860
#WRITE(ptr,$18C760)
敵味方が受けるダメージを半減する。[LINE]
もう一度使うと元に戻る。[LINE]
[END]
","//Text $1AF860
#WRITE(ptr,$18C760)
All damage is halved for everyone.[LINE]
Use another to negate the effect.[END]
"
"//Text $1AF848
#WRITE(ptr,$18C778)
[Sign_Apple_Gel]アワーグラス[END]
","//Text $1AF848
#WRITE(ptr,$18C778)
[Sign_Apple_Gel]Hourglass[END]
"
"//Text $1AF808
#WRITE(ptr,$18C77C)
一定時間全ての敵の動きを止める。[LINE]
ピンチのときに使うのもアリ！[LINE]
[END]
","//Text $1AF808
#WRITE(ptr,$18C77C)
Temporarily stops enemy movements.[LINE]
Only usable during battle.[LINE]
[END]
"
"//Text $1AF7F0
#WRITE(ptr,$18C794)
[Sign_9]オベロナミンＣ[END]
","//Text $1AF7F0
#WRITE(ptr,$18C794)
[Sign_9]Oberol C[END]
"
"//Text $1AF798
#WRITE(ptr,$18C798)
オベロン社が開発した庶民の味方。[LINE]
最大ＨＰの４０％分ＨＰが回復する。[LINE]
元気ハツラツ！[END]
","//Text $1AE318
#WRITE(ptr,$18C798)
A liquid medicine from Oberon Corp,[LINE]
Restores 40% of max HP. Not usable[LINE]
during battle.[END]
"
"//Text $1AF780
#WRITE(ptr,$18C7B0)
[Sign_9]オベロナミンＥＸ[END]
","//Text $1AF780
#WRITE(ptr,$18C7B0)
[Sign_9]Oberol EX[END]
"
"//Text $1AF720
#WRITE(ptr,$18C7B4)
オベロン社が開発した働く人の味方。[LINE]
最大ＨＰの６０％分ＨＰが回復する。[LINE]
疲労時の栄養補給に。[END]
","//Text $1AF720
#WRITE(ptr,$18C7B4)
A liquid medicine from Oberon Corp.[LINE]
Restores 60% of max HP. Not usable [LINE]
during battle.[END]
"
"//Text $1AF700
#WRITE(ptr,$18C7CC)
[Sign_9]オベロナミンＧＯＬＤ[END]
","//Text $1AF700
#WRITE(ptr,$18C7CC)
[Sign_9]Oberol Gold[END]
"
"//Text $1AF6A8
#WRITE(ptr,$18C7D0)
オベロン社が開発した戦う人の味方。[LINE]
ＨＰが全快するドリンク。[LINE]
今日のあなたに、この１本！[END]
","//Text $1AF6A8
#WRITE(ptr,$18C7D0)
A liquid medicine from Oberon Corp.[LINE]
Restores 100% of max HP. Not usable[LINE]
during battle.[END]
"
"//Text $1AF690
#WRITE(ptr,$18C7E8)
[Sign_9]アイスキャンディー[END]
","//Text $1AF690
#WRITE(ptr,$18C7E8)
[Sign_9]Softy Kreem[END]
"
