"Japanese","English"
"//Text $1BAFD0
#WRITE(ptr,$192714)
[Sign_Key]ワールドマップ[END]
","//Text $1BAFD0
#WRITE(ptr,$192714)
[Sign_Key]World Map[END]
"
"//Text $1BAF80
#WRITE(ptr,$192718)
世界を旅する者には欠かせない地図。[LINE]
フィールドを移動中、[LINE]
[R3_ani]ボタンで起動する。[END]
","//Text $1BAF80
#WRITE(ptr,$192718)
Maps are essential for travelers.[LINE]
While on the field, press [R3_ani] to[LINE]
activate it.[END]
"
"//Text $1BAF68
#WRITE(ptr,$192730)
[Sign_Key]モンスター図鑑[END]
","//Text $1BAF68
#WRITE(ptr,$192730)
[Sign_Key]Monster Book[END]
"
"//Text $1BAF10
#WRITE(ptr,$192734)
今までの戦った敵をまとめた図鑑。[LINE]
戦闘中[R1_copy]を押した状態で[LINE]
[Circle_ani2]でも起動できる。[END]
","//Text $1BAF10
#WRITE(ptr,$192734)
An encyclopedia of enemies you've[LINE]
encountered. In battle, hold [R1_copy] and[LINE]
press [Circle_ani2] to view the enemy's entry.[END]
"
"//Text $1BAF00
#WRITE(ptr,$19274C)
[Sign_Key]フード図鑑[END]
","//Text $1BAF00
#WRITE(ptr,$19274C)
[Sign_Key]Food Book[END]
"
"//Text $1BAED0
#WRITE(ptr,$192750)
今まで食べたことのある[LINE]
料理が載った図鑑。[LINE]
[END]
","//Text $1BAED0
#WRITE(ptr,$192750)
A record of all the[LINE]
foods we've eaten.[LINE]
[END]
"
"//Text $1BAEB8
#WRITE(ptr,$192768)
[Sign_Key]ディスカバリー図鑑[END]
","//Text $1BAEB8
#WRITE(ptr,$192768)
[Sign_Key]Discovery Book[END]
"
"//Text $1BAE70
#WRITE(ptr,$19276C)
世界中で発見したものをまとめた[LINE]
図鑑。[LINE]
旅の途中で出会った思い出の記録。[END]
","//Text $1BAE70
#WRITE(ptr,$19276C)
An encyclopedia of all the things you found in[LINE]
the world. A record of our encounters while[LINE]
traveling.[END]
"
"//Text $1BAE58
#WRITE(ptr,$192784)
[Sign_Key]コレクター図鑑[END]
","//Text $1BAE58
#WRITE(ptr,$192784)
[Sign_Key]Collector's Book[END]
"
"//Text $1BAE00
#WRITE(ptr,$192788)
入手したことのあるアイテムが[LINE]
載った図鑑。全部集めれば何か[LINE]
いいことがあるかも……[END]
","//Text $1BAE00
#WRITE(ptr,$192788)
An encyclopedia of all items we've[LINE]
obtained. If you finish the book,[LINE]
something good might happen...[END]
"
"//Text $1BADE8
#WRITE(ptr,$1927A0)
[Sign_Key]あらすじブック[END]
","//Text $1BADE8
#WRITE(ptr,$1927A0)
[Sign_Key]Story Book[END]
"
"//Text $1BADB8
#WRITE(ptr,$1927A4)
ここまでの物語のあらすじを読む事[LINE]
ができる本。[LINE]
[END]
","//Text $1BADB8
#WRITE(ptr,$1927A4)
A record of the story so far.[LINE]
[END]
"
"//Text $1BADA0
#WRITE(ptr,$1927BC)
[Sign_Key]マニュアルの書[END]
","//Text $1BADA0
#WRITE(ptr,$1927BC)
[Sign_Key]Manual Tome[END]
"
"//Text $1BAD48
#WRITE(ptr,$1927C0)
移動・攻撃を自分で行う操作[LINE]
「マニュアル」が術技メニューから[LINE]
選択可能になる戦術書。[END]
","//Text $1BAD48
#WRITE(ptr,$1927C0)
A tome that allows you to select[LINE]
[Manual] on the artes menu. You[LINE]
can move and attack freely.[END]
"
"//Text $1BAD30
#WRITE(ptr,$1927D8)
[Sign_Key]ディフィニット戦記[END]
","//Text $1BAD30
#WRITE(ptr,$1927D8)
[Sign_Key]Battle Record[END]
"
"//Text $1BACD8
#WRITE(ptr,$1927DC)
カスタム設定でモンスター図鑑の[LINE]
ディフィニットストライク表示を[LINE]
変更できる戦術書。[END]
","//Text $1BACD8
#WRITE(ptr,$1927DC)
A book that let's you change[LINE]
the display of Definite Strikes[LINE]
in the Monster Book.[END]
"
"//Text $1BACC0
#WRITE(ptr,$1927F4)
[Sign_Key]ソーサラーリング[END]
","//Text $1BACC0
#WRITE(ptr,$1927F4)
[Sign_Key]Sorcerer's Ring[END]
"
"//Text $1BAC80
#WRITE(ptr,$1927F8)
レンズの力で強い熱を発射する指輪。[LINE]
[Square_ani]ボタンで発射する。[LINE]
[END]
","//Text $1BAC80
#WRITE(ptr,$1927F8)
A ring that shoots heat by[LINE]
consuming lens. Fire with [Square_ani].[LINE]
[END]
"
"//Text $1BAC68
#WRITE(ptr,$192810)
[Sign_Key]ダウジングロッド[END]
","//Text $1BAC68
#WRITE(ptr,$192810)
[Sign_Key]Dowsing Rod[END]
"
"//Text $1BAC18
#WRITE(ptr,$192814)
かくれた気配を探り当てる占い棒。[LINE]
フィールド移動中に[R2_ani]ボタンで[LINE]
起動する。[END]
","//Text $1BAC18
#WRITE(ptr,$192814)
A divine rod that detects hidden[LINE]
signs. Activate it by pressing [R2_ani][LINE]
on the field.[END]
"
"//Text $1BAC00
#WRITE(ptr,$19282C)
[Sign_Key]フードサック[END]
","//Text $1BAC00
#WRITE(ptr,$19282C)
[Sign_Key]Food Sack S[END]
"
"//Text $1BAB98
#WRITE(ptr,$192830)
自動的に料理が出てくる不思議な袋。[LINE]
フード補充し忘れに注意しよう！[LINE]
フードストラップを４個装着可能。[END]
","//Text $1BAB98
#WRITE(ptr,$192830)
A mysterious bag that serves food.[LINE]
Don't forget to refill it! 4 food straps[LINE]
can be attached.[END]
"
"//Text $1BAB80
#WRITE(ptr,$192848)
[Sign_Key]フードバッグ[END]
","//Text $1BAB80
#WRITE(ptr,$192848)
[Sign_Key]Food Sack M[END]
"
"//Text $1BAB38
#WRITE(ptr,$19284C)
買い物などにも便利な[LINE]
肩掛けのバッグ。[LINE]
フードストラップを６個装着可能。[END]
","//Text $1BAB38
#WRITE(ptr,$19284C)
A convenient shoulder bag used for [LINE]
shopping and other activities. 6 food[LINE]
straps can be attached.[END]
"
"//Text $1BAB20
#WRITE(ptr,$192864)
[Sign_Key]フードリュック[END]
","//Text $1BAB20
#WRITE(ptr,$192864)
[Sign_Key]Food Sack L[END]
"
"//Text $1BAAD8
#WRITE(ptr,$192868)
長旅にも安心なリュックサック。[LINE]
フードストラップを８個装着可能。[LINE]
[END]
","//Text $1BAAD8
#WRITE(ptr,$192868)
A backpack for long journeys.[LINE]
8 food straps can be attached.[LINE]
[END]
"
"//Text $1BAAC0
#WRITE(ptr,$192880)
[Sign_Key]フードボックス[END]
","//Text $1BAAC0
#WRITE(ptr,$192880)
[Sign_Key]Food Sack XL[END]
"
"//Text $1BAA78
#WRITE(ptr,$192884)
背負えるように改造された大型の箱。[LINE]
フードストラップを１６個装着可能。[LINE]
[END]
","//Text $1BAA78
#WRITE(ptr,$192884)
A remodeled box that works like[LINE]
a backpack. 16 food straps can[LINE]
be attached.[LINE]
[END]
"
"//Text $1BAA68
#WRITE(ptr,$19289C)
[Sign_Key]通行証[END]
","//Text $1BAA68
#WRITE(ptr,$19289C)
[Sign_Key]Passport[END]
"
"//Text $1BAA18
#WRITE(ptr,$1928A0)
セインガルドからファンダリアへ[LINE]
入るために必要な通行証。[LINE]
これがないと大変……[END]
","//Text $1BAA18
#WRITE(ptr,$1928A0)
A pass that's required to enter[LINE]
Phandaria from Seinegald. It's[LINE]
tough without one...[END]
"
"//Text $1BAA08
#WRITE(ptr,$1928B8)
[Sign_Key]つるはし[END]
","//Text $1BAA08
#WRITE(ptr,$1928B8)
[Sign_Key]Pickaxe[END]
"
"//Text $1BA9B8
#WRITE(ptr,$1928BC)
堅い土地を掘り起こすのに使う道具。[LINE]
先端の両端がくちばしのように[LINE]
とがっている。[END]
","//Text $1BA9B8
#WRITE(ptr,$1928BC)
A tool used to dig through[LINE]
hard dirt. Both of its ends[LINE]
are pointed like a beak.[END]
"
"//Text $1BA9A8
#WRITE(ptr,$1928D4)
[Sign_Key]つのぶえ[END]
","//Text $1BA9A8
#WRITE(ptr,$1928D4)
[Sign_Key]Horn[END]
"
"//Text $1BA968
#WRITE(ptr,$1928D8)
動物の角で作ったラッパ。[LINE]
海の近くで使うと海竜が呼べる。[LINE]
[END]
","//Text $1BA968
#WRITE(ptr,$1928D8)
A trumpet made out of animal[LINE]
horns. Use it near the sea to[LINE]
call the Leviathan.[END]
"
"//Text $1BA958
#WRITE(ptr,$1928F0)
[Sign_Key]Ｒキー[END]
","//Text $1BA958
#WRITE(ptr,$1928F0)
[Sign_Key]R Key[END]
"
