"Japanese","English"
"//Text $1B2CD0
#WRITE(ptr,$18DD2C)
[Sign_Sword]ディムロス[END]
","//Text $1B2CD0
#WRITE(ptr,$18DD2C)
[Sign_Sword]Dymlos[END]
"
"//Text $1B2C80
#WRITE(ptr,$18DD30)
火属性の知能ある剣。[LINE]
人格は、熱血漢の切り込み隊長。[LINE]
ディムロス・ティンバー。[END]
","//Text $1B2C80
#WRITE(ptr,$18DD30)
Swordian of Fire. Leader of an[LINE]
army. His full name is Dymlos[LINE]
Timber.[END]
"
"//Text $1B2C70
#WRITE(ptr,$18DD68)
[Sign_Sword]アトワイト[END]
","//Text $1B2C70
#WRITE(ptr,$18DD68)
[Sign_Sword]Atwight[END]
"
"//Text $1B2C20
#WRITE(ptr,$18DD6C)
水属性の知能ある剣。[LINE]
人格は、激情を秘めた理知的な女性。[LINE]
アトワイト・エックス。[END]
","//Text $1B2C20
#WRITE(ptr,$18DD6C)
Swordian of Water. A fierce and[LINE]
intelligent woman. Her full name[LINE]
name is Atwight Ecks.[END]
"
"//Text $1B2C10
#WRITE(ptr,$18DDA4)
[Sign_Sword]クレメンテ[END]
","//Text $1B2C10
#WRITE(ptr,$18DDA4)
[Sign_Sword]Clemente[END]
"
"//Text $1B2BC0
#WRITE(ptr,$18DDA8)
光属性の知能ある剣。[LINE]
人格は、知識と経験のある老人。[LINE]
ラヴィル・クレメンテ。[END]
","//Text $1B2BC0
#WRITE(ptr,$18DDA8)
Swordian of Light. A wise old[LINE]
man. His full name is Laville[LINE]
Clemente.[END]
"
"//Text $1B2BA8
#WRITE(ptr,$18DDE0)
[Sign_Sword]イクティノス[END]
","//Text $1B2BA8
#WRITE(ptr,$18DDE0)
[Sign_Sword]Igtenos[END]
"
"//Text $1B2B50
#WRITE(ptr,$18DDE4)
風属性の知能ある剣。[LINE]
人格は、知性と合理性を持った男性。[LINE]
イクティノス・マイナード。[END]
","//Text $1B2B50
#WRITE(ptr,$18DDE4)
Swordian of Wind. A rational[LINE]
and intelligent man. His full [LINE]
name is Igtenos Mindarde.[END]
"
"//Text $1B2B38
#WRITE(ptr,$18DE1C)
[Sign_Sword]シャルティエ[END]
","//Text $1B2B38
#WRITE(ptr,$18DE1C)
[Sign_Sword]Chaltier[END]
"
"//Text $1B2AE0
#WRITE(ptr,$18DE20)
地属性の知能ある剣。[LINE]
人格は、才能に恵まれた若き青年。[LINE]
ピエール・ド・シャルティエ。[END]
","//Text $1B2AE0
#WRITE(ptr,$18DE20)
Swordian of Earth.[LINE]
A gifted young man, his full name is[LINE]
Pierre de Chaltier.[END]
"
