"Sub","Japanese Title","English Title","Japanese Location","English Location","Japanese Period","English Period","Japanese Reward","English Reward","Japanese Main Text","English Main Text","Japanese Image Text","English Image Text","Comments","Excel Table","Missable","Multipart","New Game+"
"001","通行証がない！","Lost Passport!","国境の街ジェノス (→P182)","Janos","No.04 ジェノス到着~No.15 チェリク到着前","No.04 Arriving in Janos ~ No.15 Before arriving in Cherik","-","-","ジェノスの宿屋手前にいる男に話しかけると発生す る。 「通行証」をなくしてしまって以来、 ファンダリアへ 戻れずに数年間もジェノスに滞在していると嘆く男の 話を聞ける。 彼から「通行証」を売ってくれと懇願され あるが、もちろん売ることはできない。 なお、この男は 「カゴの中の鳥?』(→P341)にも登場する。","This event occurs when you talk to the man in front of the inn in Janos. He tells you that he has been staying in Janos for several years without being able to return to Phandaria since he lost his passport. He begs you to sell him your passport, but of course you can't. This man also appears in ""The Bird in the Cage"" [Side-Quest #077](projects/destiny-dc/stahn-guide?id=Side-Quest-077-bird-in-a-cage). ","","","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"002","小さな家族①","Small Family 1","ハーメンツの村(→P188)","Harmentz","No.08 ハーメンツ到着~No.15 チェリク到着前","No.08 Arriving in Harmentz ~ No.15 Before arriving in Cherik","-","-","全5回に渡って連続で発生するサブイベントで、1回 目以降は前回のイベントを見ていることが発生条件と なる。 1回目は、上記の期間中にハーメンツの道具屋 わきにある垂れ幕を調べると発生。 道具屋のおばさ んから、 毎年巣を作るという屋根の上に住む鳥の家族 に関する話が聞ける。 最後の『小さな家族5』まで見れ ば、アイテムの「マジカルアロマ」がもらえるので、発 生時期を覚えて見逃さないようにしよう。","This is a five part event and where each one is mandatory for the next one. The first one occurs when you examine the nest on the roof of the item shop. The shopkeeper will tell you that a family of birds that live on the roof and build a nest every year. The last part of this series of event will reward you with a [Magical Aroma], make sure to not miss any.","鳥たちが巣立ちする瞬間 に立ち会うこともできる。 こ まめにチェックすること。","▲ You can even witness the moment when the young birds leave their nests.","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"003","とある兵士の求愛①","Soldier's Advance 1","首都ダリルシェイド(→P190)","Darilsheid","No.09 リオン加入 ~No.15 チェリク到着前","No.09 Leon joins ~ No.15 Before arriving in Cherik","-","-","これも上記の『小さな家族』 と同様に、 発生条件を 満たすことで連続して楽しめるサブイベント。1回目は、 期間中にダリルシェイドの酒場の正面入口から中へ入 ると発生。 セインガルドのあらくれ兵士が、 ルーティに 言い寄ってくる。 これに対して、 その気がないルーティ はあっさりと兵士の誘いを一蹴。 このイベントは連続 で続くうえ、いずれも期間限定のものばかりなので、 以降の発生期間もチェックしておこう。","Like the ""Small Family"" event mentioned above, this event also has multiple parts to enjoy. The first part occurs upon entering the Darilsheid pub through the front door. A rowdy Seingald soldier will try to put the moves on Rutee, but an uninterested Rutee immediately rejects him. The rest of the parts of this event have a limited duration for when you can see them, so be sure to check their availability so you don't miss any of them. ","ルーティにとってはお呼 びでない男。 案の定、あっ さりフラれるのだった。","▲ He's not the man Rutee needs, of course, so he got easily rejected.","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"004","田舎の正直者","Country Boy","首都ダリルシェイド(→P190)","Darilsheid","No.09 ヒューゴの依頼受諾~","No.09 Taking Hugo’s Request ~","スタン称号「田舎の正直者」","Stahn's title [Country Boy]","ダリルシェイドの道具屋の前で、客引きをしている 男に話しかけると発生するイベント。 男はスタンのこ とをさも見知っているかのような口ぶりで親しげに話 しかけてくるが、 男の問いかけに対しては、 タイトルど おり正直に「見覚えがない」 と答えよう。 どちらの選択 肢を選んでも称号は入手できるが、 男の話につられて 知ったかぶりをすると、 「アップルグミ」を100ガルド で無理矢理売りつけられる羽目になる。","This event occurs when you encounter a man who seems to know Stahn in from of the Darilsheid Item shop. He is friendly and will ask Stahn if he knows him. You should answer honestly that you do not know him. Only the first answer will work, pretending to know the man will force you to Buy [Apple Gel] for 100 gald.","","","","","","",""
"005","噂の七将軍","The Rumoured Seven Generals","首都ダリルシェイド(→P190)","Darilsheid","No.09 ヒューゴの依頼受諾~No.58 ヒューゴ撃破","No.09 Taking Hugo’s Request ~ No.58 Fight against Hugo","-","-","七将軍の異名を持つセインガルドの英雄たち。 彼ら に関する噂話を各地で聞いてからセインガルド城の謁 見の間へ行くと、 集結した七将軍たちのイベントを見 ることができる。 七将軍に関する情報が聞ける場所に ついては、下に記したリストのとおり。 全部で7人の 人々から情報を聞けば、このイベントが発生する。","The Heroes of Seinegald are known as the ""Seven Generals."" You will encounter rumors about them in various places. Once you have heard them all, head to the audience chamber within Seinegald Castle to witness an assembly of the Seven Generals. The locations where the rumors can be encountered are listed below.","","▲ That's Darilsheid tax money at work.","","|Town|Location|Npc Name|
|-----|-----|-----|
|Janos|Innkeeper's bar|Waitress|
|Harmentz|The house below the armorer's shop|Young Mother|
|Harmentz|Riverbank at the lower right of the armorer's shop|Young Man|
|Darilshield|Front of the item shop|Man|
|Darilshield|Residential district|Oberon Employee|
|Darilshield|Harbor|Meat Merchant|
|Armeida|The islet at the lower right of the village|Kid|","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"006","カプセルトイ","Capsule Toy","首都ダリルシェイド(→P190)","Darilsheid","No.09 ヒューゴの依頼受諾~","No.09 Taking Hugo’s Request ~","-","See table below","ダリルシェイドの宿屋、2階の踊り場に置いてある機 械を調べると、 1回200ガルドでカプセルトイを買うこ とができる。 カプセルの中身はすべて消費アイテムだ が、なかにはレアなものも含まれているので、 ガルドに 余裕があれば立ち寄って挑戦してみよう。 入手できる アイテムと手に入る確率については下表のとおりだ。","There is a vending machine on the second floor of the Darilsheid Inn that offers capsule toys for 200 Gald. Some of the available toys are rare, so if you have a few Gald to spare, you should try your luck! The following table shows the items that are available and the probability of obtaining them. ","","","","|Item            |Probability|
|----------------|-----------|
|Apple Gel       |30%        |
|Oberol C        |20%        |
|Holy Bottle     |9%         |
|Dark Bottle     |9%         |
|Gamble Gel      |5%         |
|Liqueur Bottle  |5%         |
|Life bottle     |4%         |
|Peach Gel       |3%         |","","",""
"007","強欲の魔女","Greedy Witch","首都ダリルシェイド ( →P190)","Darilsheid","No.09 ヒューゴの依頼受諾~","No.09 Taking Hugo’s Request ~","ルーティ称号「強欲の魔女」","Rutee's title [Greedy Witch]","セインガルドの城門をくぐった先、 噴水のある広場  にいる兵士に話しかけ、「何よ!! 乱暴な言い方するや  つね」を選択するとイベントが発生。 ルーティを見かけ  たことがあるという兵士から、 彼女の通り名について  コミカルなやり取りが交わされる。 わざととしか思え  ない兵士の言動に、いちいち突っ込んでいくルーティ。  やり取りに疲れ果てたルーティを尻目に、 兵士はさら  りと本当の通り名を告げて去っていく。","In the plaza just after passing under Seingald Castle's gate, talk to the soldier and select ""How about some manners!"" to see this event. The soldier will try to recall Rutee's nickname in a comical scene featuring many overlapping messages. The soldier says many incorrect names, seemingly on purpose, and Rutee will question each one. After Rutee gets exhausted and dizzy, the soldier says her real nickname and abruptly walks away.","「その後のマリアン』 (→  P344) を発生させるには  この称号が必要だ。","▲ The [Greedy Witch] title is necessary to trigger Marian's Event [Side-Quest #097](projects/destiny-dc/stahn-guide?id=Side-Quest-097-Marian). ","","","","",""
"008","ダグ兄弟","Doug Brothers","首都ダリルシェイド (→P190)","Darilsheid","No.09 ヒューゴの依頼受諾~No.12 ストレイライズ神殿クリア","No.09 Taking Hugo’s Request ~ No.12 Straylize Temple cleared","-","-","上記の発生期間中にセインガルド城の門をくぐって  左手にあるレイノルズの研究所前に行くと、 七将軍の  アシュレイと遭遇するサブイベントが発生する。 スタ  ンたちの任務を聞き、 突然焦りだしたアシュレイはす  ぐさま城へと戻っていく。 その後訪れたドライデンの  口から、 フィンレイという人物の名前が聞ける。","Between the period listed above, a Side-Quest will occur after heading to Reynold's Laboratory. There you will encounter Ashley of the Seven-Generals. He expresses frustration after learning of Stahn's mission and rushes off to the castle.","","","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"009","だじゃれ爺","Bad Pun Man","首都ダリルシェイド(→P190)","Darilsheid","No.09 ヒューゴの依頼受諾~","No.09 Taking Hugo’s Request ~","マリー称号「ブレイカー」","Mary's title [Breaker]","ダリルシェイドのヒューゴ邸に行き、 ソーディアンを  受け取ったあと、屋敷の左隣の民家にいる老人と会話  をすると発生する。 スタンとマリーがだじゃれ爺と名  乗る老人から、 だじゃれについてあれこれと話を聞か  されるのだ。 スタンの王道的なだじゃれに感心しきり  のだじゃれ爺だが、 その後マリーからきついひと言を  浴びせられることに。 このサブイベントをクリアする  とマリーの称号「ブレイカー」が手に入る。","This event occurs when you visit Hugo's mansion in Darilsheid and receive the swordians. Speak with the old man in the house to the left. The old man, named ""Bad Pun Man,"" shares that he loves puns, as long as they are of good caliber. Stahn impresses him, but Mary gives Stahn a hard time about his terrible jokes. Completing the event gives your the ""Breaker"" title for Mary.","「ブレイカー」 は、 『フェイ ト」 (→P341) 発生のため  の条件となっている。","▲ You will need the [Breaker] title for the ""Fayte"" event [Side-Quest #081](projects/destiny-dc/stahn-guide?id=Side-Quest-081-Fayte).","","","","",""
"010","母親疑惑？","Alleged Mother?","首都ダリルシェイド(→P190)","Darilsheid"," No.09 ヒューゴの依頼受諾~No.12 ストレイライズ神殿クリア","No.09 Taking Hugo’s Request ~ No.12 Straylize Temple cleared","マリー称号「家庭料理人」","Mary's title [Home Cook]","セインガルド城内、 1階左側の通路の先にある食堂  を訪れると発生する。 子供が叫んだ「お母さん」という  言葉に、パーティの誰かの子どもかと一瞬疑うスタン  たちだったが、 ただの勘違いに終わる。 称号がもらえ  るサブイベントだが、 期間が非常に短いのでストレイ  ライズ神殿へ向かうまえにクリアするといい。","This event only appears for a short time, so it's best to complete it PRIOR TO heading to Staylize Temple. Visit the dining room in Seinegald Castle, which is located at the end of the corridor on the left side of the first floor. A child will shout ""mother,"" leading Stahn and the party to wonder for a moment if this child is Mary's (?). In the end, it all turns out to be a misunderstanding. ","","","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
