"Sub","Japanese Title","English Title","Japanese Location","English Location","Japanese Period","English Period","Japanese Reward","English Reward","Japanese Main Text","English Main Text","Japanese Image Text","English Image Text","Comments","Excel Table","Missable","Multipart","New Game+"
"001","","Tony’s diary","","","","","","","","","","","","","","",""
"002","","Hasta’s spear skit","","","","","","","","","","","","","","",""
"003","","Brooch","","","","","","","","","","","","","","",""
"004","","Karaage potato","","","","","","","","","","","","","","",""
"005","","Tock paper scissor","","","","","","","","","","","","","","",""
"006","","inn no money","","","","","","","","","","","","","","",""
"007","","Believer","","","","","","","","","","","","","","",""
"008","","The Boy Who Forgot Something","","","","","","","","","","","","","","",""
"009","","Coda’s apple","","","","","","","","","","","","","","",""
"010","","Wonderchef","","","","","","","","","","","","","","",""
"011","","Cat-alogue","","","","","","","","","","","","","","",""
"012","","Kongwei and the cat","","","","","","","","","","","","","","",""
"013","","Toro","","","","","","","","","","","","","","",""
"014","","Soldiers and Mercenaries","","","","","","","","","","","","","","",""
"015","","poor at playing catch","","","","","","","","","","","","","","",""
"016","","Great Thief of Main Street","","","","","","","","","","","","","","",""
"017","","Noble with Overflowing Elegance","","","","","","","","","","","","","","",""
"018","","gold coda silver coda","","","","","","","","","","","","","","",""
"019","","Bernard and Illia’s meeting","","","","","","","","","","","","","","",""
"020","","Chitose Fanclub","","","","","","","","","","","","","","",""
"021","","Preaching Maid","","","","","","","","","","","","","","",""
"022","","Evil Cat Summoner","","","","","","","","","","","","","","",""
"023","","Boy Worried with Love","","","","","","","","","","","","","","",""
"024","","Otsukai","","","","","","","","","","","","","","",""
"025","","Tofu Steak","","","","","","","","","","","","","","",""
"026","","Hermana and Kongwei","","","","","","","","","","","","","","",""
"027","","Quiz Master","","","","","","","","","","","","","","",""
"028","","Chitose and the Small bird","","","","","","","","","","","","","","",""
"029","","Barrage Master","","","","","","","","","","","","","","",""
"035","","Mister Dandy","","","","","","","","","","","","","","",""
"036","","Wolf with Rabbit Ears","","","","","","","","","","","","","","",""
"032","","Okonomiyaki ?","","","","","","","","","","","","","","",""
"033","","Relaxing Hot Springs Hour","","","","","","","","","","","","","","",""
"034","","Man who calls forth death","","","","","","","","","","","","","","",""
"035","","Man with Many Names","","","","","","","","","","","","","","",""
"036","","Custom Sword","","","","","","","","","","","","","","",""
"037","","QQ bunny girl","","","","","","","","","","","","","","",""
"038","","Beautifull Man","","","","","","","","","","","","","","",""
"039","","She Followed Us!","","","","","","","","","","","","","","",""
"040","","765th Customer","","","","","","","","","","","","","","",""
"041","","Bat Extermination Request","","","","","","","","","","","","","","",""
"042","","QQ master locksmith","","","","","","","","","","","","","","",""
"043","","Hermana Dress Up","","","","","","","","","","","","","","",""
"044","","Fated Person","","","","","","","","","","","","","","",""
"045","","Hero of justice","","","","","","","","","","","","","","",""
"046","","Factory Fieldtrip","","","","","","","","","","","","","","",""
"047","","Together with Kuro","","","","","","","","","","","","","","",""
"048","","Ange Ashihara Costume","","","","","","","","","","","","","","",""
"049","","General Asura","","","","","","","","","","","","","","",""
"050","","Proud of Her Scars","","","","","","","","","","","","","","",""
"051","","The Scent of Adventure","","","","","","","","","","","","","","",""
"052","","Southern Cuisine","","","","","","","","","","","","","","",""
"053","","My idea of a dessert","","","","","","","","","","","","","","",""
"054","","A good man?","","","","","","","","","","","","","","",""
"055","","A Father’s Daughter","","","","","","","","","","","","","","",""
"056","","Bad Cooking","","","","","","","","","","","","","","",""
"057","","Mr. Unreliable Knight","","","","","","","","","","","","","","",""
"058","","Shopping","","","","","","","","","","","","","","",""
"059","","School Uniform","","","","","","","","","","","","","","",""
"060","","Suspicious Merchant (cont.)","","","","","","","","","","","","","","",""
"061","","Raffle Maker","","","","","","","","","","","","","","",""
"062","","Ishitori master","","","","","","","","","","","","","","",""
"063","","Medic!","","","","","","","","","","","","","","",""
"064","","Memories of a Past Life ?","","","","","","","","","","","","","","",""
"065","","Accessories Manufacturer","","","","","","","","","","","","","","",""
"066","","Gentle or Strict?","","","","","","","","","","","","","","",""
"067","","Something’s missing","","","","","","","","","","","","","","",""
"068","","deceased person","","","","","","","","","","","","","","",""
"069","","CindeRuca","","","","","","","","","","","","","","",""
"070","","Beauty and the Thief","","","","","","","","","","","","","","",""
"071","","The Black Guard","","","","","","","","","","","","","","",""
"072","","Guided by Flowers","","","","","","","","","","","","","","",""
"073","","Sakuya’s Flowers","","","","","","","","","","","","","","",""
"074","","Magic Bullet Shooter","","","","","","","","","","","","","","",""
"075","","Fabled Recipe","","","","","","","","","","","","","","",""
"076","","Businessman’s Path","","","","","","","","","","","","","","",""
"077","","Looking for dentures","","","","","","","","","","","","","","",""
"078","","Cat Finder (kill quest)","","","","","","","","","","","","","","",""
"079","","Hartman and Spada","","","","","","","","","","","","","","",""
"080","","What Lurks in the Royal Tomb","","","","","","","","","","","","","","",""
"081","","Binge Eating Contest","","","","","","","","","","","","","","",""
"082","","The last one standing...","","","","","","","","","","","","","","",""
"083","","Excellent Escort","","","","","","","","","","","","","","",""
"084","","Albert’s glasses  Duplicate","","","","","","","","","","","","","","",""
"085","","Coda’s Hometown","","","","","","","","","","","","","","",""
"086","","Daily life of the Muse Clan","","","","","","","","","","","","","","",""
"087","","Letter from the Muse Clan","","","","","","","","","","","","","","",""
